ticker,exchange,industry,company_type,no_shareholders,foreign_percent,outstanding_share,issue_share,established_year,no_employees,stock_rating,delta_in_week,delta_in_month,delta_in_year,short_name,website
AGG,HOSE,Bất động sản,CT,3363,0.009,156.4,156.4,2012.0,94,2.6,-0.032,-0.087,-0.484,Bất động sản An Gia,https://www.angia.com.vn
AGM,HOSE,Thực phẩm và đồ uống,CT,333,0.006,18.2,18.2,1976.0,111,2.6,-0.019,0.331,-0.536,XNK An Giang,http://www.angimex.com.vn
AGP,UPCOM,Y tế,CT,774,0.0,23.1,23.1,1981.0,479,2.4,0.02,-0.007,0.666,Dược phẩm AGIMEXPHARM,https://agimexpharm.com
AGR,HOSE,Dịch vụ tài chính,CK,3968,0.003,215.4,215.4,2000.0,148,2.9,0.002,0.059,0.059,Agriseco,https://www.agriseco.com.vn
AGX,UPCOM,Bán lẻ,CT,188,0.017,10.8,10.8,2006.0,956,2.9,-0.009,0.037,0.845,Nông sản Xuất khẩu Sài Gòn,http://www.agrexsaigon.com.vn
AIC,UPCOM,Bảo hiểm,BH,0,0.751,100.0,100.0,2012.0,1711,2.3,0.005,-0.006,0.029,Bảo hiểm Hàng không,https://bhhk.com.vn
ALT,HNX,Truyền thông,CT,544,0.032,5.7,6.2,1989.0,268,2.5,-0.024,-0.096,-0.014,Văn hóa Tân Bình,https://alta.com.vn
ALV,UPCOM,Xây dựng và Vật liệu,CT,477,0.003,5.7,5.7,2008.0,19,,-0.014,-0.003,0.246,Xây dựng ALVICO,http://www.alvico.vn
AMC,HNX,Tài nguyên Cơ bản,CT,160,0.028,2.9,2.9,2001.0,114,,0.005,-0.012,-0.134,Khoáng sản Á Châu,http://www.amcvina.vn
AMD,UPCOM,Bất động sản,CT,16818,0.007,163.5,163.5,2007.0,248,2.3,0.005,-0.006,-0.136,FLC Stone,https://flcstone.vn
AME,HNX,Hàng & Dịch vụ Công nghiệp,CT,238,0.023,65.2,65.2,1995.0,181,2.2,0.023,-0.041,-0.496,Cơ điện Alphanam,https://alphanamec.com.vn
AMP,UPCOM,Y tế,CT,194,0.0,13.0,13.0,2010.0,108,,-0.012,-0.023,-0.545,Armephaco,http://www.armephaco.com.vn
AMS,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,2055,0.355,60.0,60.0,2008.0,1238,2.5,0.026,-0.018,-0.162,Xây dựng AMECC,https://amecc.com.vn
AMV,HNX,Y tế,CT,12142,0.004,131.1,131.1,2002.0,17,2.7,-0.138,-0.206,-0.536,Dược-TB Y tế Việt Mỹ,http://amvibiotech.com
ANT,UPCOM,Thực phẩm và đồ uống,CT,423,0.002,18.4,18.4,2011.0,871,,0.014,0.055,1.221,Rau quả thực phẩm An Giang,http://www.antesco.com
ANV,HOSE,Thực phẩm và đồ uống,CT,0,0.008,133.1,133.5,2006.0,6156,2.3,0.011,0.067,-0.224,Thủy sản Nam Việt,https://navicorp.com.vn
APC,UPCOM,Y tế,CT,1467,0.15,19.9,20.1,2003.0,216,2.6,-0.049,-0.08,-0.523,Chiếu xạ An Phú,https://www.apic.com.vn
APF,UPCOM,Thực phẩm và đồ uống,CT,570,0.0,29.8,29.8,2003.0,899,2.3,0.0,-0.002,0.044,Nông sản Quảng Ngãi,http://www.apfco.com.vn
APG,HOSE,Dịch vụ tài chính,CK,8125,0.093,223.6,223.6,2007.0,38,2.7,0.014,-0.121,-0.056,Chứng khoán APG,http://www.apsi.vn
APH,HOSE,Hàng & Dịch vụ Công nghiệp,CT,0,0.286,243.9,243.9,2017.0,4069,2.4,-0.009,-0.054,-0.315,Tập đoàn An Phát Holdings,https://anphatholdings.com
API,HNX,Bất động sản,CT,3484,0.007,84.1,84.1,2006.0,130,2.5,-0.084,-0.03,0.328,Đầu tư Châu Á - Thái Bình Dương,https://apeci.com.vn
APL,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,117,0.0,1.2,1.2,2004.0,112,,0.005,0.143,-0.393,Cơ khí và Thiết bị áp lực - VVMI,http://www.apluco.vn
APP,UPCOM,Hóa chất,CT,482,0.005,4.7,4.7,1996.0,75,,0.439,0.066,0.212,Phụ gia và SP Dầu mỏ,http://app.com.vn
APS,HNX,Dịch vụ tài chính,CK,13184,0.011,83.0,83.0,2006.0,41,2.6,-0.023,0.008,-0.044,CK Châu Á - TBD,https://apec.com.vn
APT,UPCOM,Thực phẩm và đồ uống,CT,439,0.0,8.8,8.8,2006.0,371,,0.005,0.075,-0.346,Thủy hải sản Sài Gòn,http://www.apt.com.vn
ARM,HNX,Hàng & Dịch vụ Công nghiệp,CT,106,0.001,3.1,3.1,2006.0,84,,-0.088,-0.118,-0.127,XNK Hàng không,https://www.airimex.vn
ART,UPCOM,Dịch vụ tài chính,CK,12612,0.007,96.9,96.9,2008.0,31,2.4,0.005,-0.006,-0.136,Chứng khoán BOS,https://bos.vn
ASA,UPCOM,Hàng cá nhân & Gia dụng,CT,444,0.003,10.0,10.0,2007.0,6,,0.005,-0.006,-0.136,Hàng tiêu dùng ASA,http://www.asacorp.com.vn
ASG,HOSE,Hàng & Dịch vụ Công nghiệp,CT,558,0.007,90.8,90.8,2010.0,1887,2.3,0.018,-0.024,-0.205,Tập đoàn ASG,https://asg.net.vn
ASM,HOSE,Thực phẩm và đồ uống,CT,16005,0.125,370.2,370.2,1997.0,421,2.1,-0.017,0.003,-0.143,Tập đoàn Sao Mai,http://saomaigroup.com
ASP,HOSE,"Điện, nước & xăng dầu khí đốt",CT,4360,0.49,37.3,37.3,2004.0,1520,2.3,-0.015,-0.033,-0.439,Dầu khí An Pha,http://www.anphapetrol.com
AST,HOSE,Bán lẻ,CT,1513,0.435,45.0,45.0,2015.0,1469,2.5,-0.004,-0.017,-0.116,Dịch vụ Hàng không Taseco,https://www.tasecoairs.vn
ATA,UPCOM,Thực phẩm và đồ uống,CT,0,0.001,12.0,12.0,2007.0,317,,-0.162,-0.173,-0.751,NTACO,http://www.ntacocorp.com.vn
ATB,UPCOM,Xây dựng và Vật liệu,CT,1088,0.001,13.9,13.9,2004.0,4,,0.005,-0.075,-0.147,Công ty An Thịnh,http://anthinhjsc.com.vn
ATG,UPCOM,Tài nguyên Cơ bản,CT,1028,0.001,15.2,15.2,2007.0,13,,-0.138,-0.223,-0.254,An Trường An,https://atajsc.vn
ATS,HNX,Du lịch và Giải trí,CT,161,0.002,3.5,3.5,1998.0,57,,-0.181,-0.188,0.378,Tập đoàn Đầu tư ATS,http://www.atesco.vn
AVC,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,146,0.0,75.1,75.1,2012.0,169,2.8,0.057,0.017,0.001,Thủy điện A Vương,http://avuong.com
AVF,UPCOM,Thực phẩm và đồ uống,CT,1949,0.002,43.3,43.3,2007.0,697,,0.005,-0.006,-0.392,Thủy sản Việt An,http://www.anvifish.com
B82,OTC,Xây dựng và Vật liệu,CT,0,0.005,5.0,5.0,2004.0,3,,,,,Công ty 482,http://www.congty482.com.vn
BAB,HNX,Ngân hàng,NH,1440,0.0,895.9,895.9,2011.0,3665,2.6,0.005,0.019,-0.179,Ngân hàng Bắc Á,http://www.baca-bank.vn
BAF,HOSE,Thực phẩm và đồ uống,CT,3616,0.01,239.0,239.0,2017.0,1194,2.8,0.041,0.264,0.223,Nông nghiệp BAF Việt Nam,https://baf.vn
BAL,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,142,0.001,2.0,2.0,2005.0,26,,0.005,0.458,0.27,Bao bì Balpac,http://www.balpac.com.vn
BAX,HNX,Xây dựng và Vật liệu,CT,287,0.163,8.2,8.2,2004.0,43,2.7,0.012,-0.036,-0.313,Công ty Thống Nhất,https://bauxeo.com.vn
BBC,HOSE,Thực phẩm và đồ uống,CT,1412,0.007,18.8,18.8,1999.0,1655,2.7,-0.006,-0.021,-0.241,Bánh kẹo BIBICA,http://www.bibica.com.vn
BBH,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,245,0.0,2.0,2.0,1999.0,151,,0.148,0.079,-0.119,Bao bì Hoàng Thạch,http://www.baobihoangthach.vn
BBM,UPCOM,Thực phẩm và đồ uống,CT,216,0.003,2.0,2.0,1999.0,114,,0.179,-0.143,-0.075,Bia Hà Nội - Nam Định,http://www.biahanoinamdinh.com
BBS,HNX,Hàng & Dịch vụ Công nghiệp,CT,429,0.005,6.0,6.0,2002.0,282,,0.005,-0.061,-0.057,Bao bì Xi măng Bút Sơn,https://butsonpackaging.vn
BBT,UPCOM,Hàng cá nhân & Gia dụng,CT,1418,0.008,9.8,9.8,1997.0,240,1.8,0.622,1.095,0.558,Bông Bạch Tuyết,https://bongbachtuyet.com.vn
BCA,UPCOM,Tài nguyên Cơ bản,CT,855,0.0,19.0,19.0,2004.0,982,,-0.024,-0.06,0.806,Công ty B.C.H,https://bch.com.vn
BCB,UPCOM,Tài nguyên Cơ bản,CT,264,0.0,5.7,5.7,2010.0,408,,0.005,-0.006,0.264,Công ty 397,http://www.congtycophan397.com.vn
BCC,HNX,Xây dựng và Vật liệu,CT,0,0.009,123.2,123.2,2006.0,1227,2.1,0.017,0.019,-0.386,Xi măng Bỉm Sơn,https://ximangbimson.com.vn
BCE,HOSE,Xây dựng và Vật liệu,CT,3342,0.016,35.0,35.0,2002.0,131,2.3,0.008,-0.022,-0.183,XD và GT Bình Dương,http://www.becamexbce.com.vn
BCF,HNX,Thực phẩm và đồ uống,CT,300,0.0,33.9,33.9,2013.0,719,2.7,0.005,-0.012,0.19,Thực phẩm Bích Chi,http://bichchi.com.vn
BCG,HOSE,Dịch vụ tài chính,CT,44992,0.012,880.2,880.2,2011.0,1716,2.2,-0.008,-0.031,-0.356,Bamboo Capital,https://www.bamboocap.com.vn
BCM,HOSE,Bất động sản,CT,6292,0.02,1035.0,1035.0,2006.0,3896,2.4,-0.011,-0.056,-0.138,Becamex IDC,https://becamex.com.vn
BCO,UPCOM,Xây dựng và Vật liệu,CT,43,0.0,5.6,5.6,1997.0,34,,0.005,-0.006,,Xây dựng Bình Phước,http://xaydungbinhphuoc.com.vn
BCP,UPCOM,Y tế,CT,380,0.033,6.0,6.0,2005.0,119,,0.005,-0.059,-0.021,Dược Enlie,http://enlie.vn
BCV,UPCOM,Du lịch và Giải trí,CT,104,0.0,1.8,1.8,2008.0,25,,0.005,-0.006,-0.136,Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,http://www.ksbanggiangcaobang.com.vn
BDB,HNX,Truyền thông,CT,115,0.0,1.1,1.1,2007.0,31,,0.005,-0.006,-0.199,Sách Bình Định,http://www.sachthietbibinhdinh.com.vn
BDG,UPCOM,Hàng cá nhân & Gia dụng,CT,1044,0.014,24.8,24.8,2007.0,1848,3.1,-0.009,-0.005,0.265,May mặc Bình Dương,https://www.protradegarment.com
BDT,UPCOM,Xây dựng và Vật liệu,CT,736,0.001,38.6,38.6,2010.0,473,2.1,-0.003,-0.051,-0.618,VLXD Đồng Tháp,http://www.dongthapbmc.vn
BDW,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,401,0.001,12.4,12.4,2010.0,359,,0.005,-0.022,0.29,Cấp thoát nước Bình Định,http://binhdinhwaco.com.vn
BED,HNX,Truyền thông,CT,107,0.0,3.0,3.0,2009.0,87,,0.005,-0.006,-0.19,Sách Đà Nẵng,http://www.danangbook.com
BEL,UPCOM,Hàng cá nhân & Gia dụng,CT,202,0.0,6.0,6.0,2003.0,41,,0.005,0.076,2.059,Điện tử Biên Hoà,http://www.belco.com.vn
BFC,HOSE,Hóa chất,CT,1800,0.047,57.2,57.2,2011.0,1189,2.8,-0.012,-0.092,1.152,Phân bón Bình Điền,https://binhdien.com
BGW,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,283,0.0,18.1,18.1,2005.0,259,2.8,0.005,-0.097,-0.161,Nước sạch Bắc Giang,https://bacgiangwsc.com.vn
BHA,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,249,0.0,66.0,66.0,2008.0,48,2.7,-0.005,-0.02,0.331,Thủy điện Bắc Hà,https://thuydienbacha.vn
BHC,UPCOM,Xây dựng và Vật liệu,CT,467,0.009,4.5,4.5,1999.0,3,,0.005,0.369,-0.036,Bê tông Biên Hòa,https://bienhoabcc.vn
BHG,UPCOM,Thực phẩm và đồ uống,CT,365,0.0,8.9,8.9,2010.0,69,,0.005,-0.006,-0.321,Chè Biển Hồ,http://bienhotea.com.vn
BHI,UPCOM,Bảo hiểm,BH,3371,0.75,100.0,100.0,2008.0,1650,2.1,0.013,-0.006,-0.307,Bảo hiểm Sài Gòn - Hà Nội,https://bshc.com.vn
BHK,UPCOM,Thực phẩm và đồ uống,CT,320,0.0,4.0,4.0,2004.0,179,,0.005,0.167,0.669,Bia Hà Nội - Kim Bài,http://www.hkbeco.vn
BHN,HOSE,Thực phẩm và đồ uống,CT,1001,0.176,231.8,231.8,2003.0,512,2.4,-0.017,-0.028,-0.143,HABECO,http://www.habeco.com.vn
BHP,UPCOM,Thực phẩm và đồ uống,CT,363,0.0,9.2,9.2,2013.0,232,,-0.064,0.034,-0.352,Bia Hà Nội - Hải Phòng,http://www.biahaiphong.vn
BIC,HOSE,Bảo hiểm,BH,1270,0.452,117.3,117.3,1999.0,1353,2.7,-0.014,-0.086,0.155,Bảo hiểm BIDV,http://www.bic.vn
BID,HOSE,Ngân hàng,NH,27603,0.171,5700.4,5700.4,1993.0,29228,2.8,-0.001,0.0,0.205,BIDV,https://www.bidv.com.vn
BIG,UPCOM,Bất động sản,CT,140,0.001,5.0,5.0,2017.0,18,,0.169,0.144,-0.156,BIG Invest Group,https://biginvestgroup.vn
BII,UPCOM,Bất động sản,CT,8954,0.001,57.7,57.7,2008.0,12,2.5,-0.006,0.128,-0.242,Đầu tư và Phát triển Công nghiệp Bảo Thư,https://bidico.com.vn
BIO,UPCOM,Y tế,CT,547,0.001,8.6,8.6,2011.0,59,3.2,0.07,0.04,-0.143,Vắc xin và Sinh phẩm Nha Trang,https://biopharco2.com.vn
BKC,HNX,Tài nguyên Cơ bản,CT,748,0.001,11.7,11.7,2000.0,401,,-0.006,-0.03,-0.278,Khoáng sản Bắc Kạn,http://backanco.com
BKG,HOSE,Hàng cá nhân & Gia dụng,CT,5380,0.001,71.6,71.6,2015.0,35,3.2,-0.001,-0.05,-0.297,Đầu tư BKG Việt Nam,https://bkgvietnam.com
BKH,OTC,Thực phẩm và đồ uống,CT,165,0.0,1.8,1.8,2015.0,152,,,,,Bánh mứt kẹo Hà Nội,http://banhmutkeohanoi.com.vn
BLF,UPCOM,Thực phẩm và đồ uống,CT,0,0.024,11.5,11.5,2006.0,740,,-0.008,-0.049,0.117,Thủy sản Bạc Liêu,https://www.baclieu-vegetables.vn
BLI,UPCOM,Bảo hiểm,BH,1284,0.01,60.0,60.0,2012.0,969,2.7,0.018,-0.082,-0.395,Bảo hiểm Nhà Rồng,https://baolonginsurance.com.vn
BLN,UPCOM,Du lịch và Giải trí,CT,375,0.0,5.0,5.0,2015.0,468,,-0.006,-0.015,-0.008,Xe buýt Liên Ninh,https://lienninh.com.vn
BLT,UPCOM,Thực phẩm và đồ uống,CT,298,0.0,4.0,4.0,2008.0,51,,-0.002,-0.013,0.228,Lương Thực Bình Định,https://bidifood.vn
BLW,OTC,"Điện, nước & xăng dầu khí đốt",CT,117,0.0,11.2,11.2,2015.0,0,,,,,Cấp nước Bạc Liêu,http://www.capnuocbaclieu.com.vn
BMC,HOSE,Tài nguyên Cơ bản,CT,0,0.049,12.4,12.4,2001.0,197,2.9,0.066,0.107,0.481,Khoáng sản Bình Định,http://bimico.vn
BMD,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,150,0.0,2.8,2.8,2010.0,416,,0.012,0.003,0.046,Môi trường và DV Đô thị Bình Thuận,https://moitruongdothibinhthuan.vn
BMF,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,103,0.0,15.8,15.8,2004.0,131,,-0.009,0.045,-0.147,VLXD và Chất đốt Đồng Nai,https://chatdotdongnai.com
BMG,UPCOM,Hàng cá nhân & Gia dụng,CT,364,0.192,5.3,5.3,1999.0,994,,-0.006,-0.015,-0.107,May Bình Minh,http://www.bmig.com.vn
BMI,HOSE,Bảo hiểm,BH,0,0.305,132.6,120.6,2004.0,1685,2.6,-0.004,-0.02,-0.11,Bảo hiểm Bảo Minh,https://www.baominh.com.vn
BMJ,UPCOM,Tài nguyên Cơ bản,CT,318,0.001,105.0,105.0,2001.0,86,2.6,-0.025,-0.237,-0.053,Khoáng sản Miền Đông AHP,http://www.becamexbmj.com.vn
BMN,UPCOM,Xây dựng và Vật liệu,CT,201,0.0,2.8,2.8,2010.0,186,,-0.006,-0.052,0.031,Công ty 715,http://www.congty715.com.vn
BMP,HOSE,Xây dựng và Vật liệu,CT,3451,0.834,81.9,81.9,1998.0,1145,3.4,0.025,0.154,0.399,Nhựa Bình Minh,http://www.binhminhplastic.com
BMS,UPCOM,Dịch vụ tài chính,CK,3233,0.002,71.1,71.1,2008.0,38,2.5,-0.018,0.139,-0.183,Chứng khoán Bảo Minh,http://www.bmsc.com.vn
BMV,UPCOM,Thực phẩm và đồ uống,CT,0,0.0,24.2,24.2,2015.0,136,1.9,-0.006,0.109,-0.867,Bột mỳ Vinafood 1,https://www.vnf1flour.com.vn
BNA,HNX,Thực phẩm và đồ uống,CT,1975,0.007,25.0,25.0,2012.0,180,2.5,0.011,-0.085,-0.039,Tập đoàn Đầu tư Bảo Ngọc,https://banhbaongoc.vn
BNW,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,316,0.0,37.5,37.5,2006.0,295,,-0.006,-0.015,-0.133,Nước sạch Bắc Ninh,https://nuocsachbacninh.vn
BOT,UPCOM,Xây dựng và Vật liệu,CT,3992,0.002,59.2,59.2,2014.0,21,2.1,-0.026,-0.031,-0.502,BOT Cầu Thái Hà,http://www.botcauthaiha.com.vn
BPC,HNX,Hàng & Dịch vụ Công nghiệp,CT,0,0.014,3.8,3.8,1999.0,203,2.0,0.016,-0.056,-0.076,Bao bì Bỉm Sơn,http://www.baobibimson.vn
BQB,UPCOM,Thực phẩm và đồ uống,CT,392,0.005,5.8,5.8,2003.0,73,,0.075,0.011,0.012,Bia Hà Nội - Quảng Bình,http://www.biaquangbinh.com
BRC,HOSE,Hóa chất,CT,502,0.011,12.4,12.4,1975.0,205,,-0.006,0.001,0.061,Cao su Bến Thành,https://www.berubco.com.vn
BRR,UPCOM,Hóa chất,CT,905,0.0,112.5,112.5,2010.0,1177,2.6,0.03,0.062,-0.048,Cao su Bà Rịa,http://baruco.com.vn
BRS,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,172,0.0,4.5,4.5,2013.0,381,,-0.077,-0.112,0.017,Dịch vụ Đô thị Bà Rịa,https://dothibaria.com
BSA,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,458,0.0,66.9,66.9,2009.0,60,2.7,0.001,-0.007,0.178,Thủy điện Buôn Đôn,https://thuydienbuondon.vn
BSC,HNX,Bán lẻ,CT,136,0.048,3.2,3.2,2003.0,13,,-0.006,-0.015,0.086,Dịch vụ Bến Thành,http://www.btsc.com.vn
BSD,UPCOM,Thực phẩm và đồ uống,CT,239,0.004,3.0,3.0,2007.0,140,,-0.006,0.074,-0.686,"Bia, rượu Sài Gòn - Đồng Xuân",http://saigondongxuan.com.vn
BSG,UPCOM,Du lịch và Giải trí,CT,508,0.0,60.0,60.0,2006.0,875,2.8,-0.006,-0.015,-0.232,Xe khách Sài Gòn,https://saigonbus.com.vn
BSH,UPCOM,Thực phẩm và đồ uống,CT,120,0.003,18.0,18.0,2007.0,149,3.0,-0.006,-0.106,0.026,Bia Sài Gòn - Hà Nội,http://www.sabecohanoi.com.vn
BSI,HOSE,Dịch vụ tài chính,CK,5679,0.401,223.1,223.1,2000.0,294,2.8,-0.01,0.046,0.229,Chứng khoán BIDV,http://www.bsc.com.vn
BSL,UPCOM,Thực phẩm và đồ uống,CT,240,0.003,45.0,45.0,2006.0,183,2.9,-0.006,-0.015,-0.089,Bia Sài Gòn - Sông Lam,http://sasobeco.com.vn
BSP,UPCOM,Thực phẩm và đồ uống,CT,237,0.0,12.5,12.5,2015.0,117,2.5,0.06,-0.012,-0.089,Bia Sài Gòn - Phú Thọ,http://www.saigonphutho.com.vn
BSQ,UPCOM,Thực phẩm và đồ uống,CT,707,0.0,45.0,45.0,2005.0,205,2.6,-0.021,-0.02,-0.148,Bia Sài Gòn - Quảng Ngãi,http://sabecoquangngai.com.vn
BSR,UPCOM,Dầu khí,CT,32640,0.008,3100.5,244.1,2008.0,1855,3.1,0.0,0.025,0.048,BSR,https://bsr.com.vn
BST,HNX,Truyền thông,CT,119,0.002,1.1,1.1,2004.0,36,,-0.071,0.089,-0.23,Sách và Thiết bị Bình Thuận,http://www.stbbt.com.vn
BT1,UPCOM,Hóa chất,CT,274,0.0,5.7,5.7,2006.0,245,,-0.006,0.0,0.0,Bảo vệ thực vật 1 TW,https://psc1.com
BT6,UPCOM,Xây dựng và Vật liệu,CT,680,0.083,32.9,33.0,2001.0,107,2.2,-0.006,-0.015,-0.423,Bê tông 6,http://www.beton6.com
BTB,UPCOM,Thực phẩm và đồ uống,CT,363,0.0,7.7,7.7,2005.0,128,,-0.006,0.003,-0.225,Bia Hà Nội - Thái Bình,http://www.tbbeco.com.vn
BTD,UPCOM,Xây dựng và Vật liệu,CT,322,0.004,6.4,6.4,2004.0,653,,-0.006,-0.044,-0.142,Bê tông ly tâm Thủ Đức,http://www.betongthuduc.com
BTG,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,211,0.0,1.2,1.2,2004.0,60,,-0.091,-0.124,-0.447,Bao bì Tiền Giang,http://www.tigipack.com.vn
BTH,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,161,0.0,25.0,25.0,2005.0,7,2.8,0.0,-0.123,0.907,Biến thế và Vật liệu Điện Hà Nội,https://ctbt.com.vn
BTN,UPCOM,Xây dựng và Vật liệu,CT,621,0.0,4.4,4.5,2001.0,18,,-0.011,-0.063,-0.366,Gạch Tuy Nen Bình Định,http://www.tuynenbinhdinh.com.vn
BTP,HOSE,"Điện, nước & xăng dầu khí đốt",CT,1692,0.086,60.5,60.5,2007.0,240,2.6,-0.03,-0.011,-0.058,Nhiệt điện Bà Rịa,http://www.btp.com.vn
BTS,HNX,Xây dựng và Vật liệu,CT,0,0.001,123.6,123.6,2005.0,1193,1.9,-0.025,-0.034,-0.168,Xi măng Bút Sơn,http://www.vicembutson.com.vn
